Images,Vegan or/and  Vegetarian,Meal Type,Menu Item,Calories,Protein,Carbs,Fat,Sugar,Sodium (mg),Ingredients 
https://readyfitgo.com/assets/products/1655461173_basic-turkey-meal_62ac5535127c9-m.jpg,,,Basic Turkey (S)**,302.00,19.00,34.00,10.00,5.00,423.00,"green beans, red potatoes, turkey, paprika, onion powder, garlic powder, ground pepper, salt"
https://readyfitgo.com/assets/products/1686523361_995a0278_1_64864de161fd4-m.jpg,,,BBQ Chicken Cauliflower Pizza**,1657.00,90.00,98.00,102.00,4.00,2200.00,"Allergens: | Ingredients for Consumer Use: Cauliflower crust, chicken thighs, bbq sauce, cheese, chives, garlic powder, salt, vinegar, brown sugar, ketchup, paprika"
https://readyfitgo.com/assets/products/1655460658_bbq-chicken-1_62ac5332ee24c-m.jpg,,,BBQ Chicken (L)*,436.00,28.00,34.00,21.00,10.00,415.00,"Allergens: | Ingredients for Consumer Use: Chicken thighs, bbq sauce, spinach, red potatoes, paprika, garlic, salt, brown sugar, vinegar, ketchup"
https://readyfitgo.com/assets/products/1655460658_bbq-chicken-1_62ac5332ee24c-m.jpg,,,BBQ Chicken (S)*,340.00,21.00,31.00,15.00,8.00,334.00,"Allergens: | Ingredients for Consumer Use: Chicken thighs, bbq sauce, spinach, red potatoes, paprika, garlic, salt, brown sugar, vinegar, ketchup"
https://readyfitgo.com/assets/products/1685646605_13-imgl3821_6478ed0dda690-m.jpg,,,Beef & Broccoli (L)*,258.00,30.00,16.00,9.00,4.00,305.00,"broccoli, steak, teriyaki sauce, garlic powder, montreal steak seasoning"
https://readyfitgo.com/assets/products/1685646605_13-imgl3821_6478ed0dda690-m.jpg,,,Beef & Broccoli (S),234.00,27.00,10.00,10.00,0.00,0.00,"broccoli, steak, teriyaki sauce, garlic powder, montreal steak seasoning"
https://readyfitgo.com/assets/products/1655461129_beyond-burger_62ac55094b1b7-m.jpg,Vegetarian,,Beyond Burger*,452.00,30.00,29.00,24.00,5.00,597.00,"Allergens: | Ingredients for Consumer Use: Beyond burger, red potatoes, green beans, paprika, salt"
https://readyfitgo.com/assets/products/1655460452_bison-breakfast-1_62ac526411612-m.jpg,,Breakfast,Bison Breakfast*,486.00,38.00,25.00,26.00,6.00,200.00,"Bison, egg, Sweet Potato, olive oil, parsley, salt and pepper"
https://readyfitgo.com/assets/products/1655460652_blackened-salmon_62ac532c6ddd4-m.jpg,,,Blackened Salmon (L)*,328.00,42.00,13.00,12.00,0.00,0.00,"Ingredients: salmon, broccoli, brown rice, lemon pepper, dill weed, lemon"
https://readyfitgo.com/assets/products/1655460652_blackened-salmon_62ac532c6ddd4-m.jpg,,,Blackened Salmon (S)*,257.00,31.00,13.00,9.00,3.00,312.00,"Ingredients: salmon, broccoli, brown rice, lemon pepper, dill weed, lemon"
https://readyfitgo.com/assets/products/1655461122_blueberry-greek-yogurt-parfait_62ac55026cf4b-m.jpg,Vegetarian,Breakfast and Snack,Blueberry Greek Yogurt Parfait*,326.00,15.00,44.00,10.00,30.00,91.00,"Allergens: Milk | Ingredients for Consumer Use: Non fat greek yogurt, blueberries, granola, almonds"
https://readyfitgo.com/assets/products/1685049866_995a0824_646fd20ad4a49-m.jpg,Vegetarian,Breakfast and Snack,Blueberry Overnight Oats*,322.00,19.00,48.00,6.00,21.00,122.00,"Allergens: | Ingredients for Consumer Use: Blueberries, Strawberries, Low-Fat Greek Yogurt, Overnight Oats"
https://readyfitgo.com/assets/products/1655460438_braised-beef-polenta_62ac52560fc8c-m.jpg,,,Braised Beef & Polenta (L)*,472.00,49.00,33.00,16.00,0.00,0.00,"Allergens: | Ingredients for Consumer Use: Beef, polenta, red wine, au jus, carrots, spinach, onions, garlic, salt, pepper"
https://readyfitgo.com/assets/products/1655460438_braised-beef-polenta_62ac52560fc8c-m.jpg,,,Braised Beef & Polenta (S)*,421.00,43.00,33.00,13.00,0.00,0.00,"Allergens: | Ingredients for Consumer Use: Beef, polenta, red wine, au jus, carrots, spinach, onions, garlic, salt, pepper"
https://readyfitgo.com/assets/products/1684518289_995a8455-2_6467b5917abc6-m.jpg,,Breakfast,Breakfast Burrito*,537.00,26.00,40.00,29.00,6.00,1409.00,"Allergens: Eggs, Gluten | Ingredients for Consumer Use: eggs, potatoes, cheese, meat, tortilla, jalapeño, tomatoes, onions, jalapeño, paprika, garlic, salt"
https://readyfitgo.com/assets/products/1655461116_breakfast-tacos_62ac54fc2215b-m.jpg,,Breakfast,Breakfast Tacos (L)*,559.00,31.00,45.00,27.00,7.00,1410.00,"Allergens: Eggs | Ingredients for Consumer Use: Eggs, ground turkey, cheese, corn tortillas, paprika, cayenne, tomatoes, onion, jalapeño, garlic"
https://readyfitgo.com/assets/products/1655461116_breakfast-tacos_62ac54fc2215b-m.jpg,,Breakfast,Breakfast Tacos (S)*,376.00,21.00,31.00,19.00,5.00,1003.00,"Allergens: Eggs | Ingredients for Consumer Use: Eggs, ground turkey, cheese, corn tortillas, paprika, cayenne, tomatoes, onion, jalapeño, garlic"
https://readyfitgo.com/assets/products/1655461109_buffalo-chicken-mashed-cauliflower_62ac54f5ad456-m.jpg,,,Buffalo Chicken (L)*,275.00,29.00,6.00,15.00,0.00,0.00,"Allergens: Milk | Ingredients for Consumer Use: Chicken thighs, Frank's buffalo sauce, cauliflower, almond milk"
https://readyfitgo.com/assets/products/1655461109_buffalo-chicken-mashed-cauliflower_62ac54f5ad456-m.jpg,,,Buffalo Chicken (S)*,182.00,20.00,3.00,10.00,0.00,0.00,"Allergens: Milk | Ingredients for Consumer Use: Chicken thighs, Frank's buffalo sauce, cauliflower, almond milk"
https://readyfitgo.com/assets/products/1685332329_995a3507_64742169ab7fd-m.jpg,,Snack,Buffalo Chicken Wrap*,353.00,43.00,18.00,12.00,0.00,1132.00,"Allergens: Gluten | Ingredients for Consumer Use: Chicken thighs, Frank's buffalo sauce, spinach, ranch, garlic, salt, wheat tortilla"
https://readyfitgo.com/assets/products/1686263221_25-imgl3873_648255b5a93ea-m.jpg,,,California Chili Chicken*,361.00,47.00,18.00,10.00,5.00,0.00,"Chicken breast, Carrots, Zucchini, Red potatoes, Chicken bone broth"
https://readyfitgo.com/assets/products/1686203800_995a0279_64816d98808a8-m.jpg,,,Pepperoni Pizza*,1207.00,68.00,42.00,79.00,11.00,1815.00,"Pepperoni, Low moisture shredded mozzarella, Marinara, Cauliflower crust"
https://readyfitgo.com/assets/products/1685312685_995a4744-2_6473d4ad122ce-m.jpg,,,Chicken Alfredo (L)*,813.00,58.00,82.00,29.00,2.00,854.00,"broccoli, parmesean cheese, parsley, gluten free pasta, chicken, milk, unsalted butter, gf flour, salt, pepper, garlic powder"
https://readyfitgo.com/assets/products/1685312685_995a4744-2_6473d4ad122ce-m.jpg,,,Chicken Alfredo (S)*,631.00,43.00,64.00,23.00,1.00,679.00,"broccoli, parmesean cheese, parsley, gluten free pasta, chicken, milk, unsalted butter, gf flour, salt, pepper, garlic powder"
https://readyfitgo.com/assets/products/1655460705_chicken-crunch-salad_62ac5361986ff-m.jpg,,Snack,Chicken Crunch Salad*,330.00,45.00,21.00,9.00,9.00,343.00,"Allergens: | Ingredients for Consumer Use: Spring Salad Mix, Chicken Breast, Celery, Almonds, Greek Yogurt, Balsamic Dressing"
https://readyfitgo.com/assets/products/1686206830_18-imgl3841_6481796ec1224-m.jpg,,Snack,Chicken Crunch Snack*,231.00,28.00,13.00,7.00,4.00,178.00,"Chicken breast, Dried cranberries, Celery, Low fat yogurt, Carrots, Gluten-free crackers"
https://readyfitgo.com/assets/products/1685320419_995a0311_6473f2e3c8e3b-m.jpg,,,Chicken Carrot Curry (L)*,574.00,35.00,62.00,19.00,10.00,1769.00,"Chicken breast, Carrots, Curry powder, Coconut milk, Tomato, Spinach, Brown rice, Lime"
https://readyfitgo.com/assets/products/1685320419_995a0311_6473f2e3c8e3b-m.jpg,,,Chicken Carrot Curry (S)*,490.00,27.00,52.00,18.00,10.00,1642.00,"Chicken breast, Carrots, Curry powder, Coconut milk, Tomato, Spinach, Brown rice, Lime"
https://readyfitgo.com/assets/products/1655461061_smart-chicken-enchiladas-2_62ac54c528bf3-m.jpg,,,Chicken Enchiladas*,502.00,43.00,39.00,19.00,6.00,615.00,"chicken thighs, corn tortillas, brown rice, tomatoes, onions, jalapeño, garlic, salt,"
https://readyfitgo.com/assets/products/1655461054_fajita-smart-chicken-bowl-3_62ac54be73d48-m.jpg,,,Chicken Fajita Bowl (L)*,551.00,41.00,75.00,9.00,4.00,1147.00,"Allergens: Milk | Ingredients for Consumer Use: chicken breast, brown rice, black beans, green peppers, yellow peppers, red peppers, shredded cheese, tomatoes, onions, jalapeño, garlic, salt, paprika"
https://readyfitgo.com/assets/products/1655461054_fajita-smart-chicken-bowl-3_62ac54be73d48-m.jpg,,,Chicken Fajita Bowl (S)*,473.00,40.00,58.00,9.00,2.00,537.00,"Allergens: Milk | Ingredients for Consumer Use: chicken breast, brown rice, black beans, green peppers, yellow peppers, red peppers, shredded cheese, tomatoes, onions, jalapeño, garlic, salt, paprika"
https://readyfitgo.com/assets/products/1655461103_chicken-fried-rice_62ac54ef24eab-m.jpg,,,Chicken Fried Rice (L)*,527.00,56.00,34.00,17.00,1.00,560.00,"Chicken Breast, Brown Rice, Pea, Carrots, Tamari, Paprika, Garlic, Olive Oil"
https://readyfitgo.com/assets/products/1655461103_chicken-fried-rice_62ac54ef24eab-m.jpg,,,Chicken Fried Rice (S)*,349.00,35.00,24.00,11.00,1.00,402.00,"Chicken Breast, Brown Rice, Pea, Carrots, Tamari, Paprika, Garlic, Olive Oil"
https://readyfitgo.com/assets/products/1655461162_chicken-parm_62ac552aee3b3-m.jpg,,,Chicken Parm (L)*,515.00,55.00,61.00,12.00,0.00,164 g,"Allergens: Milk | Ingredients for Consumer Use: chicken breast, gluten free penne pasta, marinara, parmesan cheese, panko, mustard, garlic, paprika"
https://readyfitgo.com/assets/products/1655461162_chicken-parm_62ac552aee3b3-m.jpg,,,Chicken Parm (S)*,406.00,34.00,45.00,10.00,7.00,485.00,"Allergens: Milk | Ingredients for Consumer Use: chicken breast, gluten free penne pasta, marinara, parmesan cheese, panko, mustard, garlic, paprika"
https://readyfitgo.com/assets/products/1655460897_the-chicken-scrambler_62ac542112c49-m.jpg,,Breakfast,Chicken Scrambler (L)*,459.00,50.00,9.00,23.00,2.00,.99 g?,"Allergens: Eggs | Ingredients for Consumer Use: chicken breast, red peppers, green peppers, yellow peppers, eggs, parmesan, paprika, garlic, salt"
https://readyfitgo.com/assets/products/1655460897_the-chicken-scrambler_62ac542112c49-m.jpg,,Breakfast,Chicken Scrambler (S)*,343.00,37.00,6.00,19.00,0.00,0.00,"Allergens: Eggs | Ingredients for Consumer Use: chicken breast, red peppers, green peppers, yellow peppers, eggs, parmesan, paprika, garlic, salt"
https://readyfitgo.com/assets/products/1655461048_southwest-chicken-stuffed-pepper-3_62ac54b817087-m.jpg,,,Chicken Stuffed Pepper*,369.00,17.00,55.00,9.00,0.00,0.00,"Chicken Thighs, Red Salsa, Pico De Gallo, Cheddar Cheese, Spanish Rice"
https://readyfitgo.com/assets/products/1685320407_995a0314_6473f2d785b5b-m.jpg,,,Chicken Tikki Masala (L)*,551.00,35.00,74.00,12.00,5.00,619.00,"Chicken breast, Bell peppers, Cauliflower, Tomato, Coconut milk, Brown rice, Cilantro, Lime"
https://readyfitgo.com/assets/products/1685320407_995a0314_6473f2d785b5b-m.jpg,,,Chicken TIkki Masala (S)*,418.00,26.00,58.00,9.00,3.00,393.00,"Chicken breast, Bell peppers, Cauliflower, Tomato, Coconut milk, Brown rice, Cilantro, Lime"
https://readyfitgo.com/assets/products/1704049844_995a4807-2_1_6591bcb4dc076-m.jpg,,,Chimichurri Steak (L)*,443.00,33.00,28.00,23.00,3.00,939.00,"Steak, Spinach, Red Potato, Red Bell Pepper, Garlic, Red Wine Vinegar, Parsley, Oregano, Olive Oil"
https://readyfitgo.com/assets/products/1704049844_995a4807-2_1_6591bcb4dc076-m.jpg,,,Chimichurri Steak (S)*,381.00,25.00,28.00,20.00,3.00,708.00,"Steak, Spinach, Red Potato, Red Bell Pepper, Garlic, Red Wine Vinegar, Parsley, Oregano, Olive Oil"
https://readyfitgo.com/assets/products/1655461096_cilantro-lime-turkey_62ac54e8a7382-m.jpg,,,Cilantro Lime Turkey (L)*,469.00,37.00,42.00,17.00,0.00,0.00,"brown rice, lime, turkey, cilantro, salt, pepper, garlic powder"
https://readyfitgo.com/assets/products/1655461096_cilantro-lime-turkey_62ac54e8a7382-m.jpg,,,Cilantro Lime Turkey (S)*,316.00,25.00,27.00,12.00,0.00,0.00,"brown rice, lime, turkey, cilantro, salt, pepper, garlic powder"
https://readyfitgo.com/assets/products/1655461156_steak-eggs_62ac552474c9a-m.jpg,,Breakfast,Classic Steak & Eggs (L)*,469.00,40.00,33.00,19.00,4.00,1042.00,"steak, red potatoes, eggs, teriyaki sauce, worcestershire sauce, montreal seasoning"
https://readyfitgo.com/assets/products/1655461156_steak-eggs_62ac552474c9a-m.jpg,,Breakfast,Classic Steak & Eggs (S)*,369.00,31.00,25.00,16.00,4.00,769.00,"steak, red potatoes, eggs, teriyaki sauce, worcestershire sauce, montreal seasoning"
https://readyfitgo.com/assets/products/1685645703_29-imgl3894_6478e987399f7-m.jpg,Vegetarian,Breakfast and Snack,Coconut Cranberry GoGo Bites*,600.00,15.00,45.00,40.00,0.00,0.00,"Orgain Protein Powder, Rolled Oats, Peanut Butter, Flaxseed, Vanilla, Cinnamon, Dried Cranberry, Dried Coconut, Honey, Coconut Milk"
https://readyfitgo.com/assets/products/1655460609_cranberry-almond-salad_62ac53010cb6a-m.jpg,,Snack,Cranberry Almond Salad*,431.00,43.00,31.00,15.00,0.00,0.00,"Allergens: Tree Nuts | Ingredients for Consumer Use: Mixed greens, chicken breast, dried cranberries, almonds, feta cheese, balsamic vinaigrette dressing, paprika, salt"
https://readyfitgo.com/assets/products/1655460615_cranberry-side-salad_62ac530785b77-m.jpg,Vegetarian,Snack,Cranberry Side Salad*,225.00,10.00,28.00,6.00,22.00,544.00,"Allergens: Milk | Ingredients for Consumer Use: mixed greens, craisins, olive oil, balsamic vinegar, salt, almonds, feta cheese"
https://readyfitgo.com/assets/products/1655460922_steak-snack-tacos-3_62ac543a53dce-m.jpg,,,Crazy Cow Tacos*,229.00,21.00,21.00,8.00,3.00,451.00,"Allergens: | Ingredients for Consumer Use: corn, steak, tomatoes, onions, jalapeño, lime"
https://readyfitgo.com/assets/products/1655460787_dill-salmon_62ac53b30ec72-m.jpg,,,Dill Salmon (L)*,609.00,49.00,66.00,16.00,0.00,0.00,"Salmon, Citrus seasoning, Brown rice, Broccoli, and Dill sauce"
https://readyfitgo.com/assets/products/1655460787_dill-salmon_62ac53b30ec72-m.jpg,,,Dill Salmon (S)*,488.00,33.00,64.00,11.00,0.00,0.00,"Salmon, Citrus seasoning, Brown rice, Broccoli, and Dill sauce"
https://readyfitgo.com/assets/products/1655461014_fajita-steak-bowl-3_62ac5496a8f43-m.jpg,,,Fajita Steak Bowl (L)*,658.00,44.00,83.00,16.00,5.00,1545.00,"Allergens: Milk | Ingredients for Consumer Use: steak, rice, beans, cheese, tomatoes, onions, bell peppers"
https://readyfitgo.com/assets/products/1655461014_fajita-steak-bowl-3_62ac5496a8f43-m.jpg,,,Fajita Steak Bowl (S)*,530.00,35.00,69.00,13.00,4.00,1273.00,"Allergens: Milk | Ingredients for Consumer Use: steak, rice, beans, cheese, tomatoes, onions, bell peppers"
https://readyfitgo.com/assets/products/1655460877_fit-energy-bar_62ac540d31eee-m.jpg,Vegetarian,Breakfast and Snack,Fit Energy Bar*,388.00,11.00,44.00,21.00,21.00,99.00,"Allergens: Peanuts | Ingredients for Consumer Use: peanuts, yoghurt, strawberries, blueberries, granola, honey, coconut oil, craisins"
https://readyfitgo.com/assets/products/1685646281_11-imgl3814_6478ebc97cded-m.jpg,,Breakfast,Good Morning Sunshine (L)*,615.00,37.00,51.00,28.00,3.00,941.00,"Allergens: Eggs, Milk | Ingredients for Consumer Use: Brown rice, scrambled eggs, ground turkey, cheese, tomatoes, onions, taco seasoning"
https://readyfitgo.com/assets/products/1685646281_11-imgl3814_6478ebc97cded-m.jpg,,Breakfast,Good Morning Sunshine (S)*,504.00,30.00,41.00,24.00,3.00,804.00,"Allergens: Eggs, Milk | Ingredients for Consumer Use: Brown rice, scrambled eggs, ground turkey, cheese, tomatoes, onions, taco seasoning"
https://readyfitgo.com/assets/products/1684529747_995a3443_1_6467e25315a66-m.jpg,,Breakfast,Ham & Cheese English Muffin*,408.00,21.00,41.00,19.00,6.00,883.00," ham, cheese, eggs, yams, peppers, onions"
https://readyfitgo.com/assets/products/1704050364_honeygarlicsalmon_6591bebc83258-m.jpg,,,Honey Garlic Salmon (L)*,433.00,42.00,18.00,22.00,10.00,217.00,"Salmon, Green Beans, Honey, Garlic, Cauliflower, Olive Oil"
https://readyfitgo.com/assets/products/1704050364_honeygarlicsalmon_6591bebc83258-m.jpg,,,Honey Garlic Salmon (S)*,345.00,33.00,18.00,16.00,10.00,192.00,"Salmon, Green Beans, Honey, Garlic, Cauliflower, Olive Oil"
https://readyfitgo.com/assets/products/1655460928_its-a-wrap-3_62ac544066ecd-m.jpg,,Snack,It's A Wrap*,346.00,34.00,30.00,10.00,12.00,380.00,"wheat spinach tortilla, red grapes, chicken, celery, cranberries, mayonaise, vanilla yogurt"
https://readyfitgo.com/assets/products/1695070667_koreanbeef_6508b9cb63459-m.jpg,,,Korean Beef (L)*,571.00,38.00,50.00,23.00,11.00,406.00,"White Rice, Ground Beef, Carrots, Cucumbers, Green Onions, Egg"
https://readyfitgo.com/assets/products/1695070667_koreanbeef_6508b9cb63459-m.jpg,,,Korean Beef (S)*,452.00,29.00,40.00,18.00,9.00,312.00,"White Rice, Ground Beef, Carrots, Cucumbers, Green Onions, Egg"
https://readyfitgo.com/assets/products/1655460967_lean-lemon-turkey-3_62ac54678f695-m.jpg,,,Lean Lemon Turkey (L)*,555.00,49.00,38.00,23.00,2.00,154.00,"brown rice, asparagus, lemon, turkey, lemon pepper spice"
https://readyfitgo.com/assets/products/1655460967_lean-lemon-turkey-3_62ac54678f695-m.jpg,,,Lean Lemon Turkey (S)*,342.00,30.00,24.00,14.00,0.00,95.00,"brown rice, asparagus, lemon, turkey, lemon pepper spice"
https://readyfitgo.com/assets/products/1655460813_lemon-pepper-chicken_62ac53cd5f7e8-m.jpg,,,Lemon Pepper Chicken (L)*,370.00,45.00,25.00,10.00,2.00,248.00,"Allergens: | Ingredients for Consumer Use: chicken thighs, lemon pepper seasoning, spinach, red potatoes"
https://readyfitgo.com/assets/products/1655460801_loaded-potato-2_62ac53c125895-m.jpg,,,Loaded Potato*,335.00,19.00,40.00,11.00,10.00,551.00,"Mashed Potatoes, Kidney Beans, Ground Turkey, Onion, Tomato, Sour Cream, Salt, Pepper, Olive Oil"
https://readyfitgo.com/assets/products/1655460980_look-good-naked-chicken-2_62ac547491a85-m.jpg,,,Look Good Naked Chicken (L)*,219.00,27.00,21.00,3.00,7.00,1034.00,"Allergens: | Ingredients for Consumer Use: chicken breast, zucchini, yellow and green squash"
https://readyfitgo.com/assets/products/1655460980_look-good-naked-chicken-2_62ac547491a85-m.jpg,,,Look Good Naked Chicken (S)*,177.00,20.00,20.00,2.00,7.00,909.00,"Allergens: | Ingredients for Consumer Use: chicken breast, zucchini, yellow and green squash"
https://readyfitgo.com/assets/products/1655460833_mushroom-swiss-burger-2_62ac53e188118-m.jpg,,,Mushroom Swiss Burger*,481.00,47.00,8.00,29.00,1.00,465.00,"swiss cheese, ground beef, spinach, red onion, tomatoes, mushrooms, olive oil, salt"
https://readyfitgo.com/assets/products/1682708304_995a5073_644c1750c366f-m.jpg,Vegetarian,Breakfast and Snack,Peach Yogurt Parfait*,341.00,15.00,50.00,9.00,35.00,95.00,"Allergens: Milk | Ingredients for Consumer Use: yogurt, frozen peaches, granola"
https://readyfitgo.com/assets/products/1684529275_995a8346-2_6467e07b1dd9a-m.jpg,Vegetarian,Breakfast and Snack,Peanut Butter Chocolate Chip GoGo Bites*,530.00,20.00,45.00,30.00,0.00,0.00,"Allergens: Peanuts | Ingredients for Consumer Use: rolled oats, Orgain protein powder, peanut butter, flaxseed, vanilla, cinnamon, chocolate chips, honey, coconut milk"
https://readyfitgo.com/assets/products/1655460903_pepper-steak_62ac54279420c-m.jpg,,,Pepper Steak*,350.00,32.00,33.00,10.00,0.00,0.00,"Allergens: | Ingredients for Consumer Use: tri-tip, green peppers, red peppers, yellow peppers, brown rice, Worcestershire sauce, teriyaki sauce, olive oil, steak seasoning, garlic"
https://readyfitgo.com/assets/products/1655460869_pot-roast-potatoes_62ac540571bd5-m.jpg,,,Pot Roast & Potatoes (L)*,409.00,41.00,23.00,17.00,5.00,149.00,"Allergens: | Ingredients for Consumer Use: pot roast, carrots, red potatoes"
https://readyfitgo.com/assets/products/1655460869_pot-roast-potatoes_62ac540571bd5-m.jpg,,,Pot Roast & Potatoes (S)*,277.00,25.00,15.00,13.00,5.00,120.00,"Allergens: | Ingredients for Consumer Use: pot roast, carrots, red potatoes"
https://readyfitgo.com/assets/products/1655461000_raspberry-greek-yogo-parfait-2_62ac5488f184f-m.jpg,Vegetarian,Breakfast and Snack,Raspberry Yogurt Parfait*,330.00,16.00,44.00,10.00,29.00,94.00,"Allergens: Milk | Ingredients for Consumer Use: Low Fat Greek Yogurt, Raspberries, Granola"
https://readyfitgo.com/assets/products/1655461083_salmon-alfredo_62ac54dbc878c-m.jpg,,,Salmon Alfredo (L)*,719.00,40.00,70.00,31.00,1.00,591.00,"Salmon, gluten free penne pasta, Alfredo sauce, parmesan cheese, teriyaki sauce"
https://readyfitgo.com/assets/products/1655461083_salmon-alfredo_62ac54dbc878c-m.jpg,,,Salmon Alfredo (S)*,505.00,26.00,53.00,21.00,1.00,416.00,"Salmon, gluten free penne pasta, Alfredo sauce, parmesan cheese, teriyaki sauce"
https://readyfitgo.com/assets/products/1655460773_sheperds-pie_62ac53a553688-m.jpg,,,Shepard's Pie (L)*,495.00,36.00,43.00,21.00,6.00,561.00,"Ground Turkey, Carrots, Green Peas, Shredded Cheese, Mashed Potatoes"
https://readyfitgo.com/assets/products/1655460773_sheperds-pie_62ac53a553688-m.jpg,,,Shepard's Pie (S)*,370.00,26.00,32.00,16.00,5.00,433.00,"Ground Turkey, Carrots, Green Peas, Shredded Cheese, Mashed Potatoes"
https://readyfitgo.com/assets/products/1685646715_12-imgl3819_6478ed7b539a8-m.jpg,,,Shrimp Fried Rice (L)*,443.00,36.00,36.00,16.00,1.00,0.00,"Shrimp, Brown rice, Scrambled eggs, Carrots, Green peas, Chicken apple sausage"
https://readyfitgo.com/assets/products/1685646715_12-imgl3819_6478ed7b539a8-m.jpg,,,Shrimp Fried Rice (S)*,349.00,27.00,28.00,14.00,1.00,0.00,"Shrimp, Brown rice, Scrambled eggs, Carrots, Green peas, Chicken apple sausage"
https://readyfitgo.com/assets/products/1655460645_shrimp-tacos_62ac5325e3297-m.jpg,,,Shrimp Tacos*,272.00,28.00,31.00,4.00,2.00,964.00,"corn tortilla, cabbage, onion, shrimp, jalepeno ranch dressing"
https://readyfitgo.com/assets/products/1655460909_southern-shrimp-and-grits_62ac542ddcfe6-m.jpg,,,Shrimp N' Grits*,317.00,21.00,38.00,10.00,2.00,998.00,"grits, mushrooms, asparagus, cheddar cheese, shrimp"
https://readyfitgo.com/assets/products/1655461048_southwest-chicken-stuffed-pepper-3_62ac54b817087-m.jpg,,,Southwest Chicken Stuffed Peppers*,369.00,17.00,55.00,9.00,0.00,0.00,"Chicken Thighs, Red Salsa, Pico De Gallo, Cheddar Cheese, Spanish Rice"
https://readyfitgo.com/assets/products/1655460897_the-chicken-scrambler_62ac542112c49-m.jpg,,Breakfast,Southwest Scrambler (L)*,464.00,33.00,8.00,32.00,3.00,721.00,"Allergens: Eggs, Milk | Ingredients for Consumer Use: eggs, ground turkey, corn, jalapenos, bell peppers, cheddar cheese, salsa"
https://readyfitgo.com/assets/products/1655460897_the-chicken-scrambler_62ac542112c49-m.jpg,,Breakfast,Southwest Scrambler (S)*,310.00,22.00,7.00,21.00,3.00,502.00,"Allergens: Eggs, Milk | Ingredients for Consumer Use: eggs, ground turkey, corn, jalapenos, bell peppers, cheddar cheese, salsa"
https://readyfitgo.com/assets/products/1655461156_steak-eggs_62ac552474c9a-m.jpg,,Breakfast,Steak & Eggs (L)*,469.00,40.00,33.00,19.00,4.00,1042.00,"Allergens: Eggs | Ingredients for Consumer Use: steak, eggs, red potatoes"
